full_text,id_str,created_at,username,user_id_str,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,mentions,mention_count,source,target
 Saya tak tahu lagi untuk apa sebenarnya membentuk partai politik. Sbuah ketidaktahuan di ujung senja. Mungkin sdh saatnya mulai belajar olah batin. Bnyk bzikir lbh merendah untuk menekan ke-aku-an gelar sbg budayawan adiluhung. Agar salah baca itu tdk lg terulang,1.74166813860402E+018,2024-01-01 03:50:17+00:00,Lam_Sijan,2594437128,in,,0,0,1,2,https://x.com/Lam_Sijan/status/1741668138604023921,,0,Lam_Sijan,
Tahun baruan di Solo Lurah tetap tidak didampingi oleh Ibu Suri.. Padahal elektabilitas sang anak sudah mendekati kemenangan satu putaran dan anak juga jago elektabilitasnya setelah debat cawapres. Lalu teman saya nyeletuk.. Kayaknya masalah utama bukan politik ini bang..,1.74166967095094E+018,2024-01-01 03:56:22+00:00,Paltiwest,214159664,in,"Medan dan Jakarta, Indonesia",10,175,109,878,https://x.com/Paltiwest/status/1741669670950949098,,0,Paltiwest,
Beberapa tahun lalu saya kaya bodo amat sama politik dan pilpres krn rudet terlalu banyak tipu2 tapi tahun ini setelah bertambah usia saya jadi mikir kalo tiap org kaya saya yg cuek sama nasib bangsa ya makin ga karuan nasib kita nantinya dipimipin pemimpin korup.,1.74167390770551E+018,2024-01-01 04:13:12+00:00,lilspaceineed,3856184059,in,,0,1,0,0,https://x.com/lilspaceineed/status/1741673907705516073,,0,lilspaceineed,
 Percayalah sebagai penutup kalau Anda menzalimi saya yang Anda lawan adalah Tuhan yang Maha Kuasa Maha Esa. Saya akan buktikan satu persatu dipermalukan. Terima kasih . Dan kata2 ini akan terbukti satu kali lagi di tahun politik ini Gusti Mboten Sare ,1.7416807239067E+018,2024-01-01 04:40:18+00:00,AndrewsTjan,1.17667344526376E+018,in,,20,79,38,148,https://x.com/AndrewsTjan/status/1741680723906703831,,0,AndrewsTjan,
Oke sudah ditahun 2024. Sudah mulai saatnya saya akan ngetik/ngomong politik,1.74168085188336E+018,2024-01-01 04:40:48+00:00,dhimsee,2877805142,in,"Yogyakarta, Indonesia",0,0,0,0,https://x.com/dhimsee/status/1741680851883368823,,0,dhimsee,
Adek pertama melek isu politik alias melek pilpres 2024 Adek kedua melek isu Palestina Saya? Jadi pendengar saat mereka memberikan info seputar isu-isu tersebut dan dilanjutkan dengan diskusi sederhana. Omongan bisa dimulai dari isu politik dan bisa berakhir main mobile legend,1.74168233043423E+018,2024-01-01 04:46:41+00:00,earthkhundin,1.13907869427675E+018,in,,0,0,0,0,https://x.com/earthkhundin/status/1741682330434236732,,0,earthkhundin,
Dulu saya di jaman OrBa setiap hari melihat bpk² diwarkop berbisik² kalau lg ngomongin Politik. Dulu ada istilah serem yg dinamakan Petrus. Sekarang sudah jaman REFORMASI bicara sepuas &amp; sesuka hati di warkop sambil teriak² juga bebas kok mau balik ke jaman ORBA. Anda waras?,1.74168463626121E+018,2024-01-01 04:55:50+00:00,OneloveLSF,1.29128844756757E+018,in,"Kalimantan Barat, Indonesia",0,0,0,0,https://x.com/OneloveLSF/status/1741684636261216273,,0,OneloveLSF,
Bismillahirohmanirohim yuk yang masih butuh joki tugas apapun especially bidang Politik Hukum Sosial (saya ahlinya). Yuk terima joki tugas langsung dikerjain. t. jokitugas joki tugas makalah politik hukum sosial #zonauang https://t.co/iBe4U6J9bP,1.74168488648501E+018,2024-01-01 04:56:50+00:00,miginhyung,1.4960956923389E+018,in,Order DM or : ,0,0,0,0,https://x.com/miginhyung/status/1741684886485017042,,0,miginhyung,
#Politik #borokPSI #goenawanmohamad #sayakecewa #psi Tempo Ungkap Borok PSI Goenawan Mohamad: Sebagai Anggota PSI Saya Kecewa: Wartawan senior dan seniman Goenawan Mohamad menyampaikan rasa kekecewaannya atas internal Partai Sosialis Indonesia atau PSI. https://t.co/zW2wTkoacF,1.74168557016489E+018,2024-01-01 04:59:33+00:00,terkinidotid,123757780,in,"Makassar, Indonesia",0,0,0,0,https://x.com/terkinidotid/status/1741685570164895753,,0,terkinidotid,
Aneh banget bro buzzer kubu 2 politik ini suka bikin twit salah sasaran contohnya ngetag gweh Jangan seret saya plis gajetot,1.74168563500465E+018,2024-01-01 04:59:48+00:00,malefvicent,1.36000718867718E+018,in,on resting *,0,0,0,0,https://x.com/malefvicent/status/1741685635004657902,,0,malefvicent,
saya menekankan pesan kpd mas @aniesbaswedan Jadi Kepala Pelayan Bangsa itu jauh lbh berat filosofi tanggung jawab nya drpd sbg Presiden apalagi Penguasa. Maknailah kekuasan sbw wakaf politik https://t.co/7vAmQ5quhQ,1.74168794033673E+018,2024-01-01 05:08:58+00:00,herry_zudianto,170171658,in,"Kota Jogja,DIY,Indonesia",1,9,92,345,https://x.com/herry_zudianto/status/1741687940336738420,aniesbaswedan,1,herry_zudianto,aniesbaswedan
Panasaran saya melihat praktek-politik seperti ini mari kita dukung ganjar saja sebagai alternatif terbaik @InisialAfa https://t.co/lME5bdHL3W,1.74168813254915E+018,2024-01-01 05:09:44+00:00,wahyuniapril3,1.69171451411761E+018,in,Bekasi,0,0,0,0,https://x.com/wahyuniapril3/status/1741688132549157120,InisialAfa,1,wahyuniapril3,InisialAfa
@awemany Saya s7 dgn @awemany. Ujaran2 kebencian apa lg dilakukan oleh elit2 politik bikin rakyat ilfil muak jengah &amp; jijik. Jk ujaran kebencian sering diproduksi &amp; disebarkan olh kader2 parpol rakyat kian muak. Ujung2nya ya wassalam. Bisa2 finish,1.74168814163403E+018,2024-01-01 05:09:46+00:00,nyak_ih_meutuah,485230427,in,Indonesia,0,10,18,94,https://x.com/nyak_ih_meutuah/status/1741688141634035896,"awemany,awemany",2,nyak_ih_meutuah,awemany
Politik identitas? sudahlah saya lebih memilih pemimpin yang merakyat seperti Ganjar dan Mahfud MD @iwan_salah https://t.co/HrtCbEHBIV,1.74168831730825E+018,2024-01-01 05:10:28+00:00,RidwanSetw3,1.68662268697658E+018,in,Jakarta Utara,0,0,0,0,https://x.com/RidwanSetw3/status/1741688317308252335,iwan_salah,1,RidwanSetw3,iwan_salah
Saya rindu adzan tanpa politik gimana caranya? @Gabut_xixxi https://t.co/xpqx76g9Qk,1.74168913862427E+018,2024-01-01 05:13:44+00:00,Iqbalrmhn5_,1.68587101650418E+018,in,Gorontalo,0,0,0,0,https://x.com/Iqbalrmhn5_/status/1741689138624274720,Gabut_xixxi,1,Iqbalrmhn5_,Gabut_xixxi
Betul. Saya benci politik dan pengaruh buruknya di kerjaan saya. Tp saya tidak mau buta politik dan tetap akan milih walau pilihannya less evil . Karena saya ga mau hidup dan tempat saya mengadu nasib kena dampak buruk politik,1.74168991339185E+018,2024-01-01 05:16:49+00:00,_kaasstengel,1.31763019570096E+018,in,"사람이란 불, 사람이란 별로 가득한 바로 이 곳에서",0,0,0,0,https://x.com/_kaasstengel/status/1741689913391857672,,0,_kaasstengel,
Tidak perlu dibanding-bandingkan dan merasa capres dukungannya sipaling-paling. Selama dgn cara yg baik--apalagi ada unsur edukasi politik untuk khalayak kita dukung dan apresiasi siapapun itu. Hal² kek gini membuat saya berfikir dua kali untuk ikut dukung Anies.,1.74169141413068E+018,2024-01-01 05:22:46+00:00,husain_fahasbu,3187162939,in,Indonesia ,2,7,9,31,https://x.com/husain_fahasbu/status/1741691414130688039,,0,husain_fahasbu,
Pencalonan Gibran membuat saya meragukan keseriusan politik dalam menjaga keadilan. @deitydoIl https://t.co/bq7N6Bo6Ln,1.74169476912925E+018,2024-01-01 05:36:06+00:00,SeptianiRiaa11,1.68593532746539E+018,in,Denpasar,0,0,0,0,https://x.com/SeptianiRiaa11/status/1741694769129255396,deitydoIl,1,SeptianiRiaa11,deitydoIl
@juriaaur Menolak damai itu hak korban tp menarik setiap kejadian kearah dukungan politik menurut saya maksa bgt seolah2 krn ia relawan ganjar maka ia dianiaya itu yg mnurut sy ga bnr pdhl emg dasar aja itu oknum TNI bablas krn lihat tingkah korban scr pe,1.74169514978749E+018,2024-01-01 05:37:37+00:00,MellisA_An,517411633,in,"Jakarta Capital Region, Indonesia",0,1,0,6,https://x.com/MellisA_An/status/1741695149787496912,juriaaur,1,MellisA_An,juriaaur
Perasaan akun gue yang ini akun per-kpopan. Tapi tl gue isinya kenapa politik politik yes‍️,1.74169809594626E+018,2024-01-01 05:49:19+00:00,spinachrn,1.25982412487817E+018,in,Tyongland,0,0,0,0,https://x.com/spinachrn/status/1741698095946268706,,0,spinachrn,
Saya harap partai politik bisa melakukan evaluasi serius terhadap calon pemimpin yang mereka usung @bbyti27 https://t.co/eKe56vVv84,1.74170229048523E+018,2024-01-01 06:05:59+00:00,dedihrmli1,1.69720087413591E+018,in,Banjarmasin,0,0,0,0,https://x.com/dedihrmli1/status/1741702290485239923,bbyti27,1,dedihrmli1,bbyti27
Saya lahir dan besar dari tradisi NU melihat video ini dan melihat pemecatan Kyai Marzuki Mustamar koq jadi benderang Kiprah Politik Oknum PBNU https://t.co/OQNVYECes5,1.74170263128076E+018,2024-01-01 06:07:21+00:00,ok_samsul,1226448247,in,,0,3,0,0,https://x.com/ok_samsul/status/1741702631280763077,,0,ok_samsul,
Saya khawatir bahwa sikap arogan Gibran hanya akan memperkeruh suasana politik di Indonesia @basrengena https://t.co/K6sN2G0Zb4,1.74170335580904E+018,2024-01-01 06:10:13+00:00,FadelMaula6,1.68843598476836E+018,in,Subulussalam,0,0,0,0,https://x.com/FadelMaula6/status/1741703355809046730,basrengena,1,FadelMaula6,basrengena
Saya harap partai politik yang mendukung Gibran bisa menilai ulang apakah dia benar-benar layak menjadi wakil presiden @ayudwilles https://t.co/MCcp24SdD7,1.74170344923296E+018,2024-01-01 06:10:36+00:00,kuusumaadi,1.68439765346616E+018,in,Sawahlunto,0,0,0,0,https://x.com/kuusumaadi/status/1741703449232966067,ayudwilles,1,kuusumaadi,ayudwilles
Karna berita dan info2 Ring 1 politik emang ga semua orang tau mas arie. Hehehehe Saya tau info2 dan gosip2 Ring 1 aja dari TotPol. ,1.74170430083193E+018,2024-01-01 06:13:59+00:00,Oge_Kush,88952492,in,milan,0,0,0,0,https://x.com/Oge_Kush/status/1741704300831932833,,0,Oge_Kush,
Saya harap partai politik yang mendukung Gibran bisa menilai ulang apakah dia benar-benar memiliki kapasitas kepemimpinan yang dibutuhkan @bagusgiv https://t.co/ggvpywmboY,1.74170610847624E+018,2024-01-01 06:21:10+00:00,faizfauzannnn,1.6848473625803E+018,in,Jakarta Barat,0,0,0,0,https://x.com/faizfauzannnn/status/1741706108476240265,bagusgiv,1,faizfauzannnn,bagusgiv
3 Tahun 36 Projek. Buat Mahasiswa dari Mahasiswa. Ini perjuangan saya perjuangan berlandaskan politik khidmat buat rakyat. If I can do it the right way you can too.,1.74171003743177E+018,2024-01-01 06:36:46+00:00,dharshinee_sk,134409518,in,,0,1,0,6,https://x.com/dharshinee_sk/status/1741710037431779476,,0,dharshinee_sk,
Ada untungnya juga gw magang disini jadi ga perlu terlibat riwehnya debat buzzer politik like yes saya cinta foto dengan pose love menunjukkan bicep kecil saya,1.74171833634456E+018,2024-01-01 07:09:45+00:00,txtdarimaskael5,1.60484939449851E+018,in,Semarang,0,0,0,0,https://x.com/txtdarimaskael5/status/1741718336344564167,,0,txtdarimaskael5,
@Arie_Kriting Sebenernya Anda menangkap hype-nya ini sebagai apa? Gerakan politik? Saya sendiri bahkan sama sekali tidak menemukan narasi kampanye Anies Baswedan dalam hype-nya Aniesbubble yg diinisiasi fans K-Pop ini. Atau kaca mata pandang kita yg beda?,1.74171896751608E+018,2024-01-01 07:12:16+00:00,FahmiAgustian,31058944,in,Jakarta Capital Region,1,12,37,549,https://x.com/FahmiAgustian/status/1741718967516082261,Arie_Kriting,1,FahmiAgustian,Arie_Kriting
Survey LSJ Prabowo Gibran 50 3%. InshaAllah Inilah yg saya bilang hati-hati dengan politik identitas. Rakyat sih enggak perduli soal itu selama ini udah stabil udah aman. Ya milih meneruskan saja sesederhana itu. https://t.co/kmhUKLHqCn,1.74172114084505E+018,2024-01-01 07:20:54+00:00,ImaginarySteady,2556873745,in,"Jakarta, Indonesia",0,0,0,1,https://x.com/ImaginarySteady/status/1741721140845052128,,0,ImaginarySteady,
kayanya para politisi yang selalu menggaumkan politik riang gembira harus banyak belajar sama kpopers menurut saya mereka yang berhasil membuat politik menjadi riang gembira,1.74172213373326E+018,2024-01-01 07:24:50+00:00,ariakbarn,973398104,in,,0,0,0,6,https://x.com/ariakbarn/status/1741722133733265412,,0,ariakbarn,
Dibilang kan jangan suka bawa bawa bercandaan kpop ke politik. Kan dibuat kampanye kan please lah jgn bawa bawa bias saya ke politik gini. Mereka aja kalo lagi ada pemilu disana harus netral dan nggak boleh menunjukan keberpihakan,1.74172450511307E+018,2024-01-01 07:34:16+00:00,sun_autumnn,1.42797311062451E+018,in,,2,5,71,204,https://x.com/sun_autumnn/status/1741724505113075989,,0,sun_autumnn,
@GalangMahardkk Saya nggk politik..tolong jangan di tag saya..,1.74172862074027E+018,2024-01-01 07:50:37+00:00,mmbahne,623639519,in,Bandungan kota sejuta PK,0,0,0,0,https://x.com/mmbahne/status/1741728620740276313,GalangMahardkk,1,mmbahne,GalangMahardkk
Selama masa pilpres akun saya gak hanya akan ngomong sepak bola tapi juga politik. Dan preferensi dukungan sudah saya tentukan. Bagi saya sepak bola dan politik adalah dua entitas yang tidak bisa dipisahkan. Perbaikan dalam sepak bola dan penanganan tragedinya butuh politik.,1.74173230654786E+018,2024-01-01 08:05:16+00:00,oryza_wirawan,9.54223795480313E+017,in,"jember, indonesia",0,0,1,14,https://x.com/oryza_wirawan/status/1741732306547863574,,0,oryza_wirawan,
DAP adalah parti yang sangat konsisten dengan naratif beracun mereka. Saya yakin ini hanyalah permulaan bagi mereka dan kes-kes yang berlaku ini hanyalah litmus paper untuk mereka test water ke atas keadaan dan perkembangan politik negara kita pada hari ini. 1/3 https://t.co/1qCBAzvIVs,1.74173479421883E+018,2024-01-01 08:15:09+00:00,PASPusat,481060458,in,"Jalan Raja Laut, Kuala Lumpur",8,108,33,141,https://x.com/PASPusat/status/1741734794218832124,,0,PASPusat,
Makasih buat akun ini soalnya diumur saya yang sekarang (yang seenggaknya melek politik tapi ogah) akhirnya bisa jadi seru wkwkwk,1.74173587654221E+018,2024-01-01 08:19:27+00:00,ROTCERISE,1.29169036269249E+018,in,"rant acc, she/her",0,0,0,1,https://x.com/ROTCERISE/status/1741735876542214297,,0,ROTCERISE,
tp nassar bkn politik bang kl nassar di kpopfication jujur gue pun jg ikutan jokesnya. ya krn sama2 artis penyanyi idola. kl yg kalian ini kan politik. gue ttp gasetuju,1.74173989496655E+018,2024-01-01 08:35:25+00:00,donghaelovme,139400653,in,,0,1,0,0,https://x.com/donghaelovme/status/1741739894966551007,,0,donghaelovme,
KUR untuk usaha pertanian harus diperluas. Ini salah satu prioritas perjuangan politik saya. Mugo2 aku payu lur. https://t.co/ASsmgvdPXm,1.74174358408333E+018,2024-01-01 08:50:05+00:00,pemudaidamanid,1.65354154431233E+018,in,,1,3,6,26,https://x.com/pemudaidamanid/status/1741743584083333234,,0,pemudaidamanid,
Cara membershihkan teel dari politik? saya eneg,1.74174607708537E+018,2024-01-01 08:59:59+00:00,ldjmszd,1.39218753158888E+018,in,he/him,0,2,0,0,https://x.com/ldjmszd/status/1741746077085372777,,0,ldjmszd,
Pelbagai isu pelbagai cabaran dalam kita melayari 2023 dan bersedia untuk mendepani 2024. Sebagai Orang UMNO saya tetap berpendirian keadilan untuk DS @NajibRazak akan memberikan impak besar terhadap UMNO dan politik negara. Mari kita terus berdoa untuknya..,1.7417467086847E+018,2024-01-01 09:02:30+00:00,HamdanRukun,3239823812,in,,2,7,15,43,https://x.com/HamdanRukun/status/1741746708684709955,NajibRazak,1,HamdanRukun,NajibRazak
akun ini (saya) gasuka politik. kalopun update politik cmn mo ngata2in doang. jd so sorry ya guys klo pilihanmu gue katain,1.74174760943659E+018,2024-01-01 09:06:04+00:00,guesukagigit,1.26513182106845E+018,in,,0,3,0,0,https://x.com/guesukagigit/status/1741747609436594468,,0,guesukagigit,
Dgn hormat saya ingin menghimbau kpd kalian yg akn mengungkapkan opini/bahkan dukungan kpd capres tertentu tolong jgn bawa nama BTSARMY &amp; menggunakan mereka demi kepentingan politik ganti/gunakan akun lainnya krn isu politik sgt sensitif dan twt apapun rentan disalahgunakan ,1.74175026880991E+018,2024-01-01 09:16:38+00:00,Absofcknlutely7,1.3892250654352E+018,in,,12,21,505,1295,https://x.com/Absofcknlutely7/status/1741750268809916514,,0,Absofcknlutely7,
Saya menjual TEORI TEORI POLITIK ~ politik ~ pemerintahan ~ demokrasi. Dapatkan produk ini hanya di Shopee! https://t.co/gcxHvBbOxY #ShopeeID #Welcome2024 #Happy2024 #Resolusi2024 #Udah2024 #HappyNewYear #Indonesia #Bakar #Dispatch https://t.co/wyFJuZa0HU,1.74175043240456E+018,2024-01-01 09:17:17+00:00,toko_bn,1.54457204246839E+018,in,Brazil,0,0,0,0,https://x.com/toko_bn/status/1741750432404566022,,0,toko_bn,
Bayangin aja sepanjang scroll tl gue isinya politik pemilu kan gue empet dan kaget juga ‍ dari atas sampe bawah ga kelar kelar scroll tetep aja bjir,1.74175280233723E+018,2024-01-01 09:26:42+00:00,bbybblup,2287559204,in,Masih dicari,0,2,0,0,https://x.com/bbybblup/status/1741752802337239283,,0,bbybblup,
sudah kuduga bercandaan berbau politik itu jadi boomerang sendiri kan? eaaaa skrg idol saya yang kena :),1.74175582161543E+018,2024-01-01 09:38:42+00:00,cheolrin,76562202,in,HEAVY METAL 🔞 💎,0,1,0,0,https://x.com/cheolrin/status/1741755821615436013,,0,cheolrin,
Pak anies on kpopnification itu hal random dan lucu menurutku. Tapi klo udah bawa2 grup tertentu gak lucu lagi. Risetmu mengenai kultur kpop kurang dalam pak @goodghan tolong di takedown. Saya gak suka foto idol saya dilibatkan ke politik. So I choose Report &gt; Privacy &gt; ... https://t.co/vsgaHKicTt,1.74175828906147E+018,2024-01-01 09:48:31+00:00,risolims,1.31367760207946E+018,in,,0,0,8,11,https://x.com/risolims/status/1741758289061478752,goodghan,1,risolims,goodghan
 Saya gamau ikut2an politik karena gabakal ngaruh sama kehidupan saya nantinya. Belum tau aja kalau kalian dapat pemimpin kyk gini ( meskipun akhirnya gajadi naik krn diprotes ) https://t.co/pdM9hnDcDM,1.74176098371733E+018,2024-01-01 09:59:13+00:00,insanul94,170284216,in,,0,0,0,0,https://x.com/insanul94/status/1741760983717335083,,0,insanul94,
disclaimer: thread ini bukan berarti tentang politik. hanya memberikan insight. jadi kalau ada yang nganggap saya buzzer suatu kubu politik ya big no lah. ini kan saya dan temen temen formil mencari kejelasan yak.,1.74176927537392E+018,2024-01-01 10:32:10+00:00,omdhil,1.45912334670503E+018,in,,0,1,0,13,https://x.com/omdhil/status/1741769275373924646,,0,omdhil,
resolusi 2024. no political content. semua akun politik di indonesia baik pelaku politik maupun buzzer politik dan agama di indonesia saya blokir.,1.74177002737072E+018,2024-01-01 10:35:09+00:00,irkhamdwi10,369893771,in,,0,0,0,0,https://x.com/irkhamdwi10/status/1741770027370729922,,0,irkhamdwi10,
Siapapun kalian yang mengeruk kekayaan tanah Papua ..ingatlah penduduk asli ( saya tidak suka politik ) warga Papua itu saudara sebangsa dan setanah air . Mereka perlu ditolong ajarkan mereka bertani beternak hidup bersih sekolah dll Hayoo bantu mereka,1.7417764315654E+018,2024-01-01 11:00:36+00:00,SriWahy80236333,1.59388881446414E+018,in,,0,0,0,0,https://x.com/SriWahy80236333/status/1741776431565402427,,0,SriWahy80236333,
Teman teman kpop yang follow saya. Mohon bantuannya untuk menyebarkan Tweet ini ya ‍️ Terima kasih.. Buat rekan rekan pendukung dan relawan Anies Muhaimin yg lain kita cukup nikmati hype ini aja. Jangan bawa-bawa bias mereka ke ranah politik apalagi sampe jd meme gitu ‍️,1.74178261049668E+018,2024-01-01 11:25:09+00:00,fmuchtaar,1.71611620742496E+018,in,,12,41,656,2788,https://x.com/fmuchtaar/status/1741782610496688471,,0,fmuchtaar,
 Untung saya sudah tua dan ingin memusatkan diri pada kesenian. Tapi mohon maaf bapak tiap hari tweet/RT tweet politik,1.74178281021682E+018,2024-01-01 11:25:57+00:00,peachhyukjae,244933074,in,,0,0,0,0,https://x.com/peachhyukjae/status/1741782810216828997,,0,peachhyukjae,
You cannot kick politics out of football as long as you believe football is a weapon of revolution. Sejarah republik ini menunjukkan sepak bola adalah alat perjuangan politik. Bagi yang tidak setuju maaf saya tidak bisa mengubah fakta. https://t.co/fJfBPeZoNu,1.74178449833613E+018,2024-01-01 11:32:39+00:00,oryza_wirawan,9.54223795480313E+017,in,"jember, indonesia",0,0,4,12,https://x.com/oryza_wirawan/status/1741784498336133503,,0,oryza_wirawan,
Coba buat masnya alangkah baiknya segera di take down itu tweet anda yang berisikan cogil saya (Seventeen). Jangan bawa bawa idol K-Pop untuk memasuki lingkungan politik. @goodghan,1.74179059377135E+018,2024-01-01 11:56:53+00:00,Woozabda,1.68499766136632E+018,in,,1,0,0,0,https://x.com/Woozabda/status/1741790593771356432,goodghan,1,Woozabda,goodghan
Dalam politik memang tidak ada makan siang yang gratis tapi saya rasa ini terlalu spekulatif bang. Tweet ini tidak dibangun dengan landasan berpikir konkret dan hanya memprediksi berdasarkan pola oranglain.,1.74179202621837E+018,2024-01-01 12:02:34+00:00,didithandika1,2322977217,in,"Rumpin, Indonesia",0,0,0,0,https://x.com/didithandika1/status/1741792026218377257,,0,didithandika1,
Sikap politik. 2024 saya memutuskan untuk memilih Ganjar-mahfud. Untuk partai kemungkinan saya tidak memilih PDIP.,1.74179320899117E+018,2024-01-01 12:07:16+00:00,gusbagussss,574250025,in,,0,1,0,0,https://x.com/gusbagussss/status/1741793208991170655,,0,gusbagussss,
